root_id,class
720575940622649284,ALPN
720575940606590338,ALPN
720575940620595053,ALPN
720575940637749574,ALPN
720575940626657802,ALPN
720575940610039219,AN
720575940623324395,AN
720575940626951513,AN
720575940631011781,AN
720575940627480442,AN
720575940628007171,CX
720575940613152175,CX
720575940616299348,CX
720575940629606475,CX
720575940632803223,CX
720575940618722475,Kenyon_Cell
720575940619828359,Kenyon_Cell
720575940633243755,Kenyon_Cell
720575940638468678,Kenyon_Cell
720575940640158939,Kenyon_Cell
720575940616098354,mechanosensory
720575940611477873,mechanosensory
720575940618746533,mechanosensory
720575940620926836,mechanosensory
720575940629806206,mechanosensory
720575940612355301,olfactory
720575940626048637,olfactory
720575940616903209,olfactory
720575940631639097,olfactory
720575940626299678,olfactory
720575940638730805,optic_lobe_intrinsic
720575940632629551,optic_lobe_intrinsic
720575940623745816,optic_lobe_intrinsic
720575940605765408,optic_lobe_intrinsic
720575940653456630,optic_lobe_intrinsic
720575940618310100,visual
720575940638903871,visual
720575940618673748,visual
720575940621598374,visual
720575940624345992,visual
